Bezeichnung;Besuche;Aktionen;Maximale Aktionen pro Besuch;Von Besuchern verbrachte Gesamtzeit (in Sekunden);Absprünge;Besuche mit Konversionen;Eindeutige Besucher (Tagessumme);Benutzer (Tagessumme);Metadaten: idvisitor
YXhuNzkx;17;1150;325;35102;1;0;11;11;d2c0fc9b7cb80974
cXhmNzIw;12;808;356;25831;0;0;7;7;2293ef3bc29f590b
ZGF0MTY3;12;2153;1126;34498;0;0;8;8;40c47fdd53233168
ZnhzMjk1;12;3349;812;42865;0;0;7;7;1d7a652e40af8fa2
a2JuMDEz;11;709;305;11157;0;0;6;6;4d7e15c31d7b0e22
c2djMzQ0;10;1430;635;17256;0;0;6;6;0aee128ada4c57ae
emNjNzM1;10;410;219;5162;0;0;6;6;d7f7584293b2e5b4
d2lzMjI2;9;1279;861;14893;1;0;7;7;9fd747d82e079611
a29jaGx1aXNha2E=;8;740;346;18084;1;0;6;6;2a10d0d9208185a4
bHloNDQ3;7;735;217;15017;0;0;5;5;a5ca8ff230517808
bWtrNjMy;7;612;317;16269;0;0;4;4;d11554f6accf32a8
dmRwMzM0;7;1218;466;33720;0;0;7;7;a67befbbec5e08d3
dnBrODMx;7;1434;597;24649;0;0;5;5;4a41a40616831f66
ZXlxMTcz;7;617;338;17275;0;0;6;6;9f5b41a40fe1058f
aGllMzU1;6;198;84;12042;0;0;4;4;564bbdebdeeb8f6c
YmdoMDQ1;6;476;268;5757;1;0;5;5;ebea426c6a4cde66
ZHhxNzg1;6;1064;512;11601;0;0;6;6;0339335862f4883c
ZHlkNTE3;6;1168;877;15185;0;0;4;4;0c7b38bad106ac66
ZXJwODM3;6;238;123;5584;0;0;5;5;00eb5b18df26b203
bGFtYnJlY2h0a2E=;5;902;431;17584;0;0;5;5;a163d8e764bbfbb7
Z2ppMjg2;5;259;84;4036;0;0;3;3;8bb08693e2032780
Z3ZyNDUw;5;466;294;4569;0;0;5;5;4a08dd332bfe4671
Z21xMDg0;5;407;144;13055;0;0;3;3;5,938857379104E+17
Z25vMzY4;5;561;163;15794;0;0;3;3;bfd633e3a973dea0
ZG1kMzEz;5;561;168;11902;0;0;4;4;f1cf1b5b52899c9f
anV6NzQx;4;650;267;18759;0;0;3;3;963d1d2c11c348ab
aWtoODQ2;4;907;647;10268;0;0;2;2;bd0e5a73e53ad6d8
aXdzODk1;4;179;108;7836;0;0;4;4;af6f000e51357119
aXNtNTQx;4;178;82;7899;0;0;4;4;03ea1f665f0e3566
b3RkMTE1;4;2539;945;28477;0;0;3;3;5bf8f418deb034f8
bG1iMDYy;4;771;344;18091;0;0;3;3;56cc9ec94c98fb4b
bGZ5MDcy;4;52;15;1472;0;0;3;3;a1ab916f2316984d
bHNsMzc3;4;350;131;7734;0;0;4;4;329b06408418d3f4
cWNxMDg1;4;496;363;10685;0;0;4;4;b3f65920caad0b57
eHhvMzYz;4;599;290;14327;0;0;4;4;17b13c6656ce6605
YmljNzQz;4;3463;2069;41513;0;0;4;4;c11c55629e3f2582
YWtsNjcx;4;807;304;21071;0;0;4;4;644c08c0a2a6abbb
Z3J2Nzg2;4;1152;808;16601;0;0;2;2;cb442f4f6e8d9e8b
ZXlkMzE0;4;496;323;11630;0;0;3;3;820d785c08acf2cc
aHJrNTMy;3;345;211;5139;0;0;2;2;125005c1ee1bbb34
bWJmNzI2;3;1457;702;19587;0;0;3;3;4630af314b69b3df
c2FmNjIw;3;534;321;16970;0;0;3;3;d09916ddcd24f914
cG56NTQ3;3;41;22;495;0;0;3;3;70065030013d99ed
dGhkNTE2;3;154;79;4564;0;0;3;3;2cd23c1f6f8fa8fc
dHpjNzM1;3;397;185;9417;0;0;2;2;9a04858caf6ba716
eGZ6NzQz;3;3919;1798;37886;0;0;3;3;5daf1f2e6dc2804a
emt4MDIz;3;165;77;7161;0;0;3;3;c86b76f54534dd27
YmVpZXJiYWNob2xnYWth;3;96;81;3291;0;0;2;2;295c67131fae2f76
Z3JhNTIw;3;219;207;9179;0;0;3;3;23ca1515b1aa92d9
aHdqMTU2;2;146;137;2576;0;0;2;2;569673e9f50da147
anN6NTQ0;2;36;20;2602;0;0;2;2;3ca7e53d9b4ca856
aXdnMjc3;2;413;291;8530;0;0;2;2;32532cca7c7f69f8
bGtxMjgy;2;31;22;178;0;0;1;1;6f7dc839df8d1233
bnRyNzUw;2;109;97;3651;0;0;1;1;ae4afa3c1e54ec3c
bnVkMzEy;2;102;57;573;0;0;2;2;b0d5df1d5d273767
bWFpZXJmcmFuemlza2th;2;209;129;6717;0;0;2;2;c020ba58c226a29c
bXRwNTM0;2;784;609;8695;0;0;2;2;4a50ec8f4dc431a5
c3BxNDcy;2;563;301;15326;0;0;2;2;697a9ccd385094dc
cGd5Nzc3;2;199;184;3578;0;0;2;2;799d25b0ab171a69
d3hrMjMx;2;28;18;215;0;0;2;2;9cc1f7565bffd884
eG9sODc4;2;378;365;1840;0;0;2;2;51f97e4928c3151b
eGxvMDY3;2;96;57;1885;0;0;2;2;edc544e6566e56b1
emlpNTg0;2;31;25;442;0;0;2;2;f7039bfc952f8b4a
Y2hzNTky;2;60;39;3139;0;0;2;2;9812239e6fddc391
YmlhNDI4;2;291;277;9190;0;0;2;2;ada9b9108327d760
YmNrNjMy;2;932;720;25263;0;0;2;2;54c5cd74867cd1ff
ZHV4Nzk2;2;182;115;5101;0;0;2;2;becc999065f68aa3
a2Fpc2Vya2F0cmlua2E=;1;24;24;1449;0;0;1;1;064fbd8231507bb4
a3hoNzQx;1;121;121;973;0;0;1;1;0e35402f2e190cd1
a3V4Mjkx;1;21;21;402;0;0;1;1;77e099f875ad029c
aG9nNzAz;1;264;264;7584;0;0;1;1;b6427de0dabd7c02
amN1NDQ1;1;32;32;304;0;0;1;1;665335ef6127730a
aWNuMjEz;1;15;15;240;0;0;1;1;aa87fc26930fd54e
aXlkNTEz;1;158;158;4716;0;0;1;1;f4cbeaf0ddfcac2a
b2FwMDM0;1;9;9;116;0;0;1;1;2f4fe72947d67b82
b2tpMzgw;1;902;902;11853;0;0;1;1;88184d2a23573112
b3FlNjUz;1;20;20;588;0;0;1;1;0b3f63708fe13f65
bG96NzQw;1;249;249;5095;0;0;1;1;59bec7e1d6f46ed1
bm1xNTAw;1;40;40;2025;0;0;1;1;9781779652d65199
bnFrNzM2;1;7;7;66;0;0;1;1;4e36b43042891184
bnZtMjQ2;1;282;282;8855;0;0;1;1;2448222eacec6ba6
bWFzMjk1;1;417;417;3413;0;0;1;1;4485dcd73122f0af
c3lmNjI3;1;18;18;2157;0;0;1;1;e3f2f2c731d923f4
c3RiNDYy;1;27;27;379;0;0;1;1;d0f10f44aeb29e2b
c29tbWVycmViZWNjYWth;1;5;5;82;0;0;1;1;29a56ab085e36471
cHF4NDI4;1;77;77;547;0;0;1;1;84a69197842ce297
cmV1dGVyZnJpZWRrYQ==;1;6;6;66;0;0;1;1;1175308eed24b160
d2VpMjgz;1;193;193;4756;0;0;1;1;4a8fa185466a769e
d3l5Mjc4;1;159;159;8264;0;0;1;1;43092baf12ec45d6
dmlxMDgx;1;62;62;1533;0;0;1;1;63051c4320fe7f1b
dnRxNTAx;1;41;41;276;0;0;1;1;661a90e9087eef22
eGdnNjc2;1;9;9;1024;0;0;1;1;87d6b59a1d141a58
eGNiMjY3;1;33;33;856;0;0;1;1;e7095e7cef98a0e6
eGV2NTgw;1;12;12;500;0;0;1;1;23f6c575c0f26e36
emp4MzI2;1;17;17;63;0;0;1;1;da79787a0087f07a
emVpNjE2;1;5;5;53;0;0;1;1;4030ac6ac1c0039d
eWh6MDQ3;1;107;107;2904;0;0;1;1;1e30dd84d403d9f3
Y3J3MTU2;1;11;11;1694;0;0;1;1;efd581889763b0bf
Z3BzMTI2;1;351;351;4515;0;0;1;1;4989588db9609694
ZnJpdHppbmdqYW5pbmth;1;22;22;524;0;0;1;1;ac1a1b2cecde9604
ZWthODkx;1;126;126;3013;0;0;1;1;e1000d2ebfce7bb6